iShares Core S&P 500 ETF
Inception Date,"May 15, 2000"
Fund Holdings as of,"Aug 31, 2017"
Total Net Assets,"124,393,508,123.36"
Shares Outstanding,"499,300,000.00"
Stock,"-"
Bond,"-"
Cash,"-"
Other,"-"
 
Ticker,Name,Asset Class,Weight (%),Price,Shares,Market Value,Notional Value,Sector,SEDOL,ISIN,Exchange
"BLK","BLACKROCK INC","Equity","0.24","419.01","710,086.00","297,533,134.86","297,533,134.86","Financials","2494504","US09247X1019","New York Stock Exchange Inc."
"MET","METLIFE INC","Equity","0.24","46.83","6,338,674.00","296,840,103.42","296,840,103.42","Financials","2573209","US59156R1086","New York Stock Exchange Inc."
"GM","GENERAL MOTORS","Equity","0.24","36.54","8,052,868.00","294,251,796.72","294,251,796.72","Consumer Discretionary","B665KZ5","US37045V1008","New York Stock Exchange Inc."
"D","DOMINION ENERGY INC","Equity","0.23","78.77","3,693,971.00","290,974,095.67","290,974,095.67","Utilities","2542049","US25746U1097","New York Stock Exchange Inc."
"EOG","EOG RESOURCES INC","Equity","0.23","84.99","3,390,755.00","288,180,267.45","288,180,267.45","Energy","2318024","US26875P1012","New York Stock Exchange Inc."
"SPG","SIMON PROPERTY GROUP REIT INC","Equity","0.23","156.85","1,830,884.00","287,174,155.40","287,174,155.40","Real Estate","2812452","US8288061091","New York Stock Exchange Inc."
"SCHW","CHARLES SCHWAB CORP","Equity","0.23","39.90","7,147,038.00","285,166,816.20","285,166,816.20","Financials","2779397","US8085131055","New York Stock Exchange Inc."
"AMAT","APPLIED MATERIAL INC","Equity","0.23","45.12","6,311,198.00","284,761,253.76","284,761,253.76","Information Technology","2046552","US0382221051","NASDAQ"
"KHC","KRAFT HEINZ","Equity","0.23","80.75","3,504,177.00","282,962,292.75","282,962,292.75","Consumer Staples","BYRY499","US5007541064","NASDAQ"
"SO","SOUTHERN","Equity","0.23","48.26","5,834,793.00","281,587,110.18","281,587,110.18","Utilities","2829601","US8425871071","New York Stock Exchange Inc."
"ADP","AUTOMATIC DATA PROCESSING INC","Equity","0.22","106.47","2,628,233.00","279,827,967.51","279,827,967.51","Information Technology","2065308","US0530151036","NASDAQ"
"NOC","NORTHROP GRUMMAN CORP","Equity","0.22","272.21","1,025,383.00","279,119,506.43","279,119,506.43","Industrials","2648806","US6668071029","New York Stock Exchange Inc."
"CI","CIGNA CORP","Equity","0.22","182.06","1,504,161.00","273,847,551.66","273,847,551.66","Health Care","2196479","US1255091092","New York Stock Exchange Inc."
"TJX","TJX INC","Equity","0.22","72.30","3,772,240.00","272,732,952.00","272,732,952.00","Consumer Discretionary","2989301","US8725401090","New York Stock Exchange Inc."
"CSX","CSX CORP","Equity","0.22","50.20","5,403,639.00","271,262,677.80","271,262,677.80","Industrials","2160753","US1264081035","NASDAQ"
"OXY","OCCIDENTAL PETROLEUM CORP","Equity","0.21","59.70","4,483,341.00","267,655,457.70","267,655,457.70","Energy","2655408","US6745991058","New York Stock Exchange Inc."
"ATVI","ACTIVISION BLIZZARD INC","Equity","0.21","65.56","4,072,500.00","266,993,100.00","266,993,100.00","Information Technology","2575818","US00507V1098","NASDAQ"
"BDX","BECTON DICKINSON","Equity","0.21","199.44","1,332,975.00","265,848,534.00","265,848,534.00","Health Care","2087807","US0758871091","New York Stock Exchange Inc."
"PRU","PRUDENTIAL FINANCIAL INC","Equity","0.21","102.08","2,520,879.00","257,331,328.32","257,331,328.32","Financials","2819118","US7443201022","New York Stock Exchange Inc."
"KMB","KIMBERLY CLARK CORP","Equity","0.21","123.29","2,085,896.00","257,170,117.84","257,170,117.84","Consumer Staples","2491839","US4943681035","New York Stock Exchange Inc."
"SYK","STRYKER CORP","Equity","0.21","141.37","1,819,044.00","257,158,250.28","257,158,250.28","Health Care","2853688","US8636671013","New York Stock Exchange Inc."
"CCI","CROWN CASTLE INTERNATIONAL REIT CO","Equity","0.21","108.44","2,365,590.00","256,524,579.60","256,524,579.60","Real Estate","BTGQCX1","US22822V1017","New York Stock Exchange Inc."
"F","F MOTOR","Equity","0.20","11.03","22,932,799.00","252,948,772.97","252,948,772.97","Consumer Discretionary","2615468","US3453708600","New York Stock Exchange Inc."
"CME","CME GROUP INC CLASS A","Equity","0.20","125.80","1,996,979.00","251,219,958.20","251,219,958.20","Financials","2965839","US12572Q1058","NASDAQ"
"ITW","ILLINOIS TOOL INC","Equity","0.20","137.51","1,819,497.00","250,199,032.47","250,199,032.47","Industrials","2457552","US4523081093","New York Stock Exchange Inc."
"CTSH","COGNIZANT TECHNOLOGY SOLUTIONS COR","Equity","0.20","70.77","3,452,991.00","244,368,173.07","244,368,173.07","Information Technology","2257019","US1924461023","NASDAQ"
"MMC","MARSH & MCLENNAN INC","Equity","0.19","78.08","3,026,175.00","236,283,744.00","236,283,744.00","Financials","2567741","US5717481023","New York Stock Exchange Inc."
"VRTX","VERTEX PHARMACEUTICALS INC","Equity","0.19","160.54","1,460,940.00","234,539,307.60","234,539,307.60","Health Care","2931034","US92532F1003","NASDAQ"
"SPGI","S&P GLOBAL INC","Equity","0.19","154.33","1,515,744.00","233,924,771.52","233,924,771.52","Financials","BYV2325","US78409V1044","New York Stock Exchange Inc."
"COF","CAPITAL ONE FINANCIAL CORP","Equity","0.18","79.61","2,835,191.00","225,709,555.51","225,709,555.51","Financials","2654461","US14040H1059","New York Stock Exchange Inc."
"ICE","INTERCONTINENTAL EXCHANGE INC","Equity","0.18","64.67","3,476,482.00","224,824,090.94","224,824,090.94","Financials","BFSSDS9","US45866F1049","New York Stock Exchange Inc."
"EMR","EMERSON ELECTRIC","Equity","0.18","59.04","3,789,934.00","223,757,703.36","223,757,703.36","Industrials","2313405","US2910111044","New York Stock Exchange Inc."
"REGN","REGENERON PHARMACEUTICALS INC","Equity","0.18","496.90","445,826.00","221,530,939.40","221,530,939.40","Health Care","2730190","US75886F1075","NASDAQ"
"BSX","BOSTON SCIENTIFIC CORP","Equity","0.18","27.55","8,027,595.00","221,160,242.25","221,160,242.25","Health Care","2113434","US1011371077","New York Stock Exchange Inc."
"EA","ELECTRONIC ARTS INC","Equity","0.18","121.50","1,817,105.00","220,778,257.50","220,778,257.50","Information Technology","2310194","US2855121099","NASDAQ"
